%Omega	zeta_max/w
9.906954558022e-01	1.574711427080e-01
9.867785448123e-01	1.681201315220e-01
9.827636822323e-01	1.797791198980e-01
9.786922916076e-01	1.916105673920e-01
9.746135762272e-01	2.042794065200e-01
9.701552250877e-01	2.182875782600e-01
9.662451771795e-01	2.299810218000e-01
9.621389289150e-01	2.411591372200e-01
9.581596414989e-01	2.521127750000e-01
9.541354461106e-01	2.633089083400e-01
9.500578461270e-01	2.750434706600e-01
9.485461566665e-01	2.788903659000e-01
9.460308796472e-01	2.850051663000e-01
9.444943450174e-01	2.887704454600e-01
9.418811062577e-01	2.920246045400e-01
9.405317660775e-01	3.550516818200e-02
9.380724971052e-01	3.360186388800e-02
9.339287714767e-01	3.117636250000e-02
9.329014684846e-01	3.044353394400e-02
9.368989107838e-01	3.263152505600e-02
9.409743342695e-01	3.519577727800e-02
9.461522124382e-01	3.905609586400e-02
9.501554199838e-01	4.213836276000e-02
9.541999400668e-01	4.662552727800e-02
9.581090121841e-01	5.244446056400e-02
9.622450020534e-01	6.092418993400e-02
9.662778598519e-01	7.448049394400e-02
9.678317987316e-01	8.543558727800e-02
9.701976125016e-01	2.185848258000e-01
9.716956623173e-01	2.149650964600e-01
9.747301481607e-01	2.055169850400e-01
9.764783650570e-01	2.006991964600e-01
9.781193972043e-01	1.948295421080e-01
